title,authors
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPr̩"
"Twilight (Twilight, #1)",Stephenie Meyer
To Kill a Mockingbird,Harper Lee
The Great Gatsby,F. Scott Fitzgerald
The Fault in Our Stars,John Green
The Hobbit,J.R.R. Tolkien
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy"
The Importance of Being Earnest,Oscar Wilde
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan
"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett
Kafka on the Shore,"Haruki Murakami, Philip Gabriel"
"Red Dragon (Hannibal Lecter, #1)",Thomas Harris
Dreams from My Father: A Story of Race and Inheritance,Barack Obama
Congo,Michael Crichton
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","Judith Viorst, Ray Cruz"
Interpreter of Maladies,Jhumpa Lahiri
A People's History of the United States,Howard Zinn
Breakfast at Tiffany's,Truman Capote
"The Passage (The Passage, #1)",Justin Cronin
"Paradise (Second Opportunities, #1)",Judith McNaught
Jumanji,Chris Van Allsburg
Replay,Ken Grimwood
Incognito: The Secret Lives of the Brain,David Eagleman
Death by Black Hole - And Other Cosmic Quandaries,Neil deGrasse Tyson
The Edible Woman,Margaret Atwood
Uncle Vanya,Anton Chekhov
The Christmas Wedding,"James Patterson, Richard DiLallo"
Rita Hayworth and Shawshank Redemption: A Story from Different Seasons,Stephen King
